               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,             0.02397,            0.011991,           0.0015988,             0.80728,             0.87133,             0.88577,             0.60069,            0.026741,           0.0082222,           0.0055797,             0.00406,             0.00406,             0.00406
                  62,            0.024418,            0.011965,           0.0022938,             0.84339,             0.84853,             0.89033,             0.59764,            0.026826,           0.0081631,            0.005399,            0.003961,            0.003961,            0.003961
                  63,             0.02415,            0.011133,            0.001874,             0.85986,             0.83384,             0.89213,             0.61506,            0.026353,           0.0084738,           0.0048429,            0.003862,            0.003862,            0.003862
                  64,            0.023199,            0.011192,           0.0016819,             0.86593,             0.83695,             0.89248,             0.60586,            0.026491,           0.0084232,           0.0047795,            0.003763,            0.003763,            0.003763
                  65,             0.02351,            0.010837,           0.0018011,             0.87599,             0.83941,             0.90309,             0.61041,            0.026496,           0.0083361,           0.0050872,            0.003664,            0.003664,            0.003664
                  66,            0.023758,             0.01115,           0.0014401,             0.85857,             0.87772,             0.90798,             0.61992,            0.026394,           0.0083048,           0.0048751,            0.003565,            0.003565,            0.003565
                  67,            0.023546,            0.011434,            0.001334,             0.85191,             0.86674,             0.89963,             0.61862,            0.026288,           0.0082922,           0.0046048,            0.003466,            0.003466,            0.003466
                  68,            0.023722,            0.011369,            0.001529,             0.84244,             0.88386,             0.89715,             0.60551,            0.026076,           0.0083193,           0.0043413,            0.003367,            0.003367,            0.003367
                  69,            0.022534,            0.011097,           0.0016976,             0.83923,             0.89073,             0.90041,               0.616,            0.026182,            0.008194,           0.0045604,            0.003268,            0.003268,            0.003268
                  70,            0.022725,            0.010793,           0.0016984,             0.83249,             0.88805,             0.89168,             0.59417,             0.02667,           0.0085173,           0.0047711,            0.003169,            0.003169,            0.003169
                  71,            0.022767,            0.011172,           0.0013519,             0.81897,             0.88716,             0.88915,             0.61036,            0.026199,           0.0086782,           0.0045158,             0.00307,             0.00307,             0.00307
                  72,            0.023052,            0.011423,           0.0017784,             0.83326,             0.86445,              0.8985,             0.60623,            0.026338,           0.0083927,           0.0042755,            0.002971,            0.002971,            0.002971
                  73,            0.021937,            0.010766,           0.0013942,             0.84835,             0.85945,             0.89316,             0.60648,            0.026298,             0.00823,           0.0045525,            0.002872,            0.002872,            0.002872
                  74,            0.022051,            0.010072,           0.0013466,             0.84695,              0.8777,             0.89295,             0.60174,            0.026092,            0.008543,           0.0049253,            0.002773,            0.002773,            0.002773
                  75,            0.022663,            0.011034,           0.0015522,             0.82391,             0.87968,             0.88625,             0.61524,            0.025958,           0.0085337,           0.0047248,            0.002674,            0.002674,            0.002674
                  76,            0.021797,            0.011018,            0.001684,              0.8592,             0.85927,             0.88843,             0.60254,            0.025826,           0.0084955,           0.0044345,            0.002575,            0.002575,            0.002575
                  77,            0.021831,            0.011064,           0.0015847,             0.85323,             0.85629,             0.88285,             0.60021,            0.026113,           0.0087374,           0.0043234,            0.002476,            0.002476,            0.002476
                  78,            0.021557,            0.010868,           0.0013707,             0.86948,             0.82852,             0.88644,             0.59701,            0.025616,           0.0086254,           0.0045927,            0.002377,            0.002377,            0.002377
                  79,            0.021004,            0.010581,           0.0015691,              0.8604,             0.85088,             0.88962,             0.61259,            0.025699,           0.0084845,           0.0043384,            0.002278,            0.002278,            0.002278
                  80,            0.021532,            0.011066,           0.0013355,              0.8354,             0.87461,             0.89325,             0.60787,            0.025913,           0.0084978,           0.0044807,            0.002179,            0.002179,            0.002179
                  81,            0.021051,            0.010048,            0.001234,             0.86166,             0.86043,              0.8996,             0.61135,            0.025814,           0.0086098,            0.004408,             0.00208,             0.00208,             0.00208
                  82,            0.020817,            0.010313,            0.001234,             0.83311,             0.88604,               0.909,             0.62441,             0.02569,           0.0083473,           0.0044743,            0.001981,            0.001981,            0.001981
                  83,            0.020996,            0.010584,           0.0011966,              0.8176,               0.906,             0.90381,             0.62003,             0.02577,           0.0083736,           0.0044628,            0.001882,            0.001882,            0.001882
                  84,            0.021022,            0.010425,           0.0010698,             0.87469,             0.86271,             0.90934,             0.62677,            0.025634,           0.0084982,           0.0043934,            0.001783,            0.001783,            0.001783
                  85,            0.020781,            0.010366,           0.0012937,              0.8738,             0.85774,             0.89995,             0.61732,            0.025807,           0.0085217,           0.0042396,            0.001684,            0.001684,            0.001684
                  86,             0.01993,           0.0099846,           0.0015333,             0.86442,             0.87686,             0.90647,              0.6245,            0.025669,           0.0083719,           0.0040958,            0.001585,            0.001585,            0.001585
                  87,            0.020293,           0.0099952,          0.00080662,             0.86653,             0.87296,              0.9076,             0.62367,            0.025632,           0.0083158,           0.0041932,            0.001486,            0.001486,            0.001486
                  88,            0.020855,             0.01056,           0.0010063,             0.86503,              0.8821,              0.9094,             0.62884,            0.025479,           0.0084267,           0.0042299,            0.001387,            0.001387,            0.001387
                  89,            0.020047,            0.010292,            0.001199,             0.85782,             0.90386,             0.90716,               0.626,            0.025692,           0.0085236,           0.0041812,            0.001288,            0.001288,            0.001288
                  90,            0.019724,            0.010917,           0.0010587,             0.87534,             0.87842,             0.90838,             0.63094,            0.025349,           0.0084536,           0.0041775,            0.001189,            0.001189,            0.001189
                  91,            0.020243,            0.010113,           0.0012113,             0.83921,             0.90258,             0.90514,             0.63026,            0.025359,           0.0084419,           0.0041281,             0.00109,             0.00109,             0.00109
                  92,            0.019529,            0.010379,           0.0010703,             0.85115,             0.88673,             0.90096,             0.62509,            0.025565,           0.0085505,           0.0040948,            0.000991,            0.000991,            0.000991
                  93,            0.019601,            0.010079,            0.001371,             0.85975,             0.88611,             0.90198,              0.6209,            0.025512,           0.0084738,           0.0041526,            0.000892,            0.000892,            0.000892
                  94,            0.019241,            0.010365,          0.00085955,             0.87198,             0.87238,             0.90213,             0.62102,            0.025378,           0.0085789,           0.0041187,            0.000793,            0.000793,            0.000793
                  95,            0.019586,           0.0099821,          0.00098166,             0.87168,             0.86395,             0.90085,             0.61697,             0.02549,           0.0087051,           0.0041746,            0.000694,            0.000694,            0.000694
                  96,            0.019213,           0.0099241,          0.00093074,             0.85859,             0.86132,             0.89941,             0.61572,            0.025438,           0.0087687,           0.0042307,            0.000595,            0.000595,            0.000595
                  97,            0.018789,            0.010482,          0.00080415,             0.86355,              0.8531,              0.8986,             0.62498,            0.025209,           0.0087841,           0.0042363,            0.000496,            0.000496,            0.000496
                  98,            0.019222,            0.010123,          0.00075495,             0.84634,             0.87829,             0.90191,             0.62422,            0.025172,           0.0086756,           0.0041454,            0.000397,            0.000397,            0.000397
                  99,             0.01974,            0.010576,           0.0008038,             0.85724,             0.88514,             0.90368,             0.63045,            0.025134,           0.0086388,           0.0041263,            0.000298,            0.000298,            0.000298
